train_upto,test_month,days,AUC,AP,Sharpe,MDD,CAGR_est
2014-01-31,2014-02,19,0.40265136525524337,0.2632316073276466,10.914177842233915,-0.0038624413874563525,0.7978755935898396
2014-02-28,2014-03,21,0.5241334629089731,0.3483904245424977,-1.5852938634296714,-0.036587863403781194,-0.12434723377295598
2014-03-31,2014-04,21,0.5296404275996112,0.3432405755678505,1.3452705903142506,-0.037266729499127384,0.2143509921992266
2014-04-30,2014-05,21,0.46949573480185725,0.30159662728240866,4.770256150407489,-0.008591377249339139,0.3993211055436776
2014-05-30,2014-06,21,0.5952920850880035,0.4233199957949535,4.949513938698348,-0.015968023075164855,0.33632512335929876
2014-06-30,2014-07,22,0.5336481700118064,0.32903721868347124,-0.20625760291978978,-0.008039435581639819,-0.009730659883252724
2014-07-31,2014-08,21,0.413778209696577,0.2515780267461072,6.147314565199277,-0.005653622419742234,0.28137889328631793
2014-08-29,2014-09,21,0.504481157542382,0.2856552695524506,-4.651050729485626,-0.03285474098612807,-0.2791615218075756
2014-09-30,2014-10,23,0.5889819065622468,0.4339988628877762,-1.505570800847125,-0.0449887639640705,-0.18147451635148726
2014-10-31,2014-11,19,0.6009761245218309,0.41402319818933353,10.745955825117186,-0.004024543028678157,0.5368556930073072
2014-11-28,2014-12,22,0.5486029122392758,0.4090423374767839,0.4313163758149076,-0.04176966461958531,0.0424566103110704
2014-12-31,2015-01,20,0.5639285714285714,0.3431906836372365,1.9948296062104232,-0.01804074572621491,0.24367491265007657
2015-01-30,2015-02,19,0.5561271600052763,0.3549294271519192,7.671171283901861,-0.006031879748416019,1.2542055842251738
2015-02-27,2015-03,22,0.5601141282959464,0.32619927801663323,-2.050165073333316,-0.021610689398134608,-0.13876960966605112
2015-03-31,2015-04,21,0.5456214231724436,0.33554247190974806,1.4826535797549196,-0.011092381641481974,0.11170805403308992
2015-04-30,2015-05,20,0.6775,0.4513194079608285,4.713954476336846,-0.009598906970094816,0.4253670227496049
2015-05-29,2015-06,22,0.6043880362062181,0.3422549098061618,-0.6726226013059388,-0.02221088046901436,-0.04483919398837144
2015-06-30,2015-07,22,0.47619047619047616,0.3069855041473772,-1.7205301530808534,-0.030455082569551338,-0.16084837690419418
2015-07-31,2015-08,21,0.6768167584494116,0.5560568942723861,0.4324249213833833,-0.05044106398508467,0.07133812677477014
2015-08-31,2015-09,21,0.5644098909405032,0.37310336476422745,2.1056566069656033,-0.03298275109610522,0.2682831813590991
2015-09-30,2015-10,22,0.5053128689492326,0.2931766994680611,2.649405190522928,-0.013757524051316437,0.24526481579411508
