Date,Adj Close,Close,High,Low,Open,Volume,SMA20,SMA60,RSI14,MACD_HIST,BB_WIDTH,ret1,ret5,ret20,Symbol,target_5d,label_top30
2014-01-29,15.547062873840332,17.883928298950195,18.120357513427734,17.807857513427734,17.998214721679688,502810000,19.369643115997317,19.363761933644614,31.6944964440535,-0.1580107624823595,0.11907921067433713,-0.011352493189579538,-0.0920382899272949,-0.09696672945750862,AAPL,0.023644541483132775,1
2014-01-29,3.4800000190734863,3.4800000190734863,3.559999942779541,3.450000047683716,3.5199999809265137,21765000,3.9695000052452087,3.6893333395322165,36.51019037919049,-0.10283320041658811,0.3650483951072769,-0.01694913656104513,-0.05177113168137182,-0.09610386875954824,AMD,-0.048850596368446575,0
2014-01-29,19.209999084472656,19.209999084472656,19.642499923706055,19.16200065612793,19.607999801635742,67646000,19.823050117492677,19.207083384195965,42.48768837657307,-0.10601094834177477,0.05878735712707663,-0.02593622706012333,-0.050279341198534055,-0.02331147747969131,AMZN,-0.09825606171509271,0
2014-01-29,76.25390625,85.6500015258789,86.72000122070312,85.3499984741211,85.5999984741211,1255500,89.16100044250489,90.18433367411295,39.667584447983316,-0.300914963089545,0.1156061338506304,-0.009139297700307747,-0.06178112973037708,-0.08336901446906786,ASML,-0.005720932341390372,0
2014-01-29,4.028609752655029,5.4070000648498535,5.593999862670898,5.336999893188477,5.394000053405762,23974000,5.438299989700317,4.925033322970072,53.33149868194936,-0.037112406417697835,0.11016049356643821,-0.011878665162724178,-0.053893277255393834,0.025996220952405835,AVGO,-0.0016645646852482265,0
2014-01-29,27.510953903198242,27.70070075988769,28.071821212768555,27.51301383972168,28.006006240844727,95100804,28.36363878250122,27.083737945556642,45.41072594709341,-0.1761557242186535,0.07102311213070715,-0.01432756914484501,-0.04987041259405367,-0.002289359989063322,GOOGL,0.032775614372782425,1
2014-01-29,53.202022552490234,53.52999877929688,54.95000076293945,53.189998626708984,54.61000061035156,92995600,56.324499702453615,52.05649992624919,44.31016371171702,-0.6618540384379634,0.11830308776218398,-0.02919841545471258,-0.06920534965041214,-0.0033513369622791833,META,0.16177844283384157,1
2014-01-29,30.473222732543945,36.65999984741211,36.880001068115234,35.900001525878906,35.97999954223633,52745900,36.30349979400635,37.04133332570394,51.482689256850485,0.0716615547475278,0.06263403124737975,0.010752671208333453,0.020317270694015788,-0.016894638043650656,MSFT,-0.022913261213425407,0
2014-01-29,0.3644551932811737,0.3865000009536743,0.39100000262260437,0.38624998927116394,0.38874998688697815,162944000,0.39601249992847437,0.3902125005920728,43.854292937221864,-0.001664578133604851,0.06574280059499828,-0.009609215756367528,-0.035558352722504405,-0.03193487724167754,NVDA,-0.0012936444022372262,0
2014-01-29,11.682000160217285,11.682000160217283,11.939332962036133,11.541999816894531,11.686667442321777,89032500,10.770900106430053,9.852199999491374,61.41702902481389,0.07804689007523569,0.30599609277850304,-0.01765893328658541,-0.018649203360708633,0.1495013902067024,TSLA,-0.004622487594356017,0
2014-01-30,15.516945838928223,17.849285125732422,18.08928680419922,17.739286422729492,17.947856903076172,678501600,19.260285949707033,19.351708348592123,31.425522164287926,-0.19574905198716733,0.13535929691919307,-0.0019371120616608062,-0.10140603743031651,-0.1091583428202132,AAPL,0.02547123015342967,1
2014-01-30,3.4800000190734863,3.4800000190734863,3.5199999809265137,3.450000047683716,3.509999990463257,17111700,3.950000011920929,3.6921666741371153,36.51019037919049,-0.09566423797744288,0.3846197419860766,0.0,-0.03867399748936007,-0.1007751622786558,AMD,-0.020114923235383997,0
