Date,ret,eq
2025-05-02,0.0,1.0
2025-05-05,-0.0019733193439084584,0.9980266806560916
2025-05-06,-0.003017531010217894,0.9950151041981871
2025-05-07,0.0057843581051040035,1.0007706278808568
2025-05-08,0.005022404897871147,1.005796903183971
2025-05-09,0.0010619069421775485,1.0068649658978828
2025-05-12,0.02035548129922805,1.0273601868820652
2025-05-13,0.014449559910709554,1.0422050894522954
2025-05-14,0.009033834160328652,1.0516201973914578
2025-05-15,-0.0017327088871954333,1.0497980457294833
2025-05-16,0.0027628892327717924,1.0526985214466142
2025-05-19,-0.0011162398036920096,1.0515234574556878
2025-05-20,-0.0005246036485364924,1.0509718244133848
2025-05-21,-0.005818007134345426,1.0448572628409516
2025-05-22,0.003206078633202991,1.0482071573860932
2025-05-23,-0.0026867483152886785,1.0453908885719125
2025-05-27,0.007874851467946076,1.0536231865453605
2025-05-28,-0.0020637050563093616,1.051448819047842
2025-05-29,0.003906117265852882,1.0555559014340852
2025-05-30,-0.005878173390197872,1.0493511608224089
2025-06-02,0.004192422838996968,1.0537504845951686
2025-06-03,0.002652544131057211,1.0565456042586803
2025-06-04,-0.002071256421864453,1.0543572273908668
2025-06-05,-0.01805698239216289,1.0353187175008203
2025-06-06,0.007197021051778014,1.0427699281059735
2025-06-09,0.003499555473632743,1.0464191593156165
2025-06-10,0.008507386471648165,1.0553214515152516
2025-06-11,-0.0022995772559918468,1.0528946583075869
2025-06-12,-0.0029035376101484655,1.0498375390676664
2025-06-13,-0.0035519492785268726,1.0461085693782046
2025-06-16,0.005613156857122775,1.0519805408677048
2025-06-17,-0.00266129921602391,1.0491809058790211
2025-06-18,0.0014325307807629142,1.0506838898212816
2025-06-20,-0.0002626001224668827,1.0504079801031405
2025-06-23,0.0051269541358988265,1.0557933736411116
2025-06-24,0.005782258534973922,1.0618982438870168
2025-06-25,0.004368819860079709,1.0665374860242942
2025-06-26,0.005047840259477693,1.07192119688449
2025-06-27,0.0022683209152073833,1.0743526581548373
2025-06-30,0.000653348619695332,1.0750545849811088
2025-07-01,-0.00426476372733886,1.070469731182172
2025-07-02,0.002451163316452559,1.0730936273186187
2025-07-03,0.003093209465682584,1.0764129306842043
2025-07-07,-0.004593224070935542,1.0714687249007193
2025-07-08,0.003632178131129016,1.0753604901714924
2025-07-09,0.00429934025669515,1.079983830817346
2025-07-10,0.0037779186818623135,1.0840639219079
2025-07-11,0.0028688639405834494,1.087173953802749
2025-07-14,0.0010651746832038734,1.0883319839745782
2025-07-15,0.014647426412191345,1.10427324662188
2025-07-16,0.003701759943016075,1.1083610010923692
2025-07-17,0.0007939106627896154,1.1092409407093566
2025-07-18,-0.0029085614466458185,1.1060146452741682
2025-07-21,0.0008806503699029411,1.1069886574806471
2025-07-22,-0.009093670325026514,1.0969220675759743
2025-07-23,0.005062425661240994,1.1024751539992526
2025-07-24,0.003991398174047222,1.1068755713158576
2025-07-25,0.00023564631797067266,1.1071364024686898
2025-07-28,0.00936039390032059,1.1174996352971807
2025-07-29,-0.0070329152878463854,1.1096403550279363
2025-07-30,-0.0002845063228783805,1.1093246553308098
